person_id	person_label	name_alt	birth_year	death_year	death_type	roles	city_of_origin_id	apostolic_connection	description	wikipedia_url	citations	notes
andronicus	Andronicus				unknown	disciple		Named with Junia in Rom 16:7.	Named by Paul among his kin and fellow prisoners; noted in Rom 16:7.	https://en.wikipedia.org/wiki/Special:Search?search=Andronicus%20of%20Pannonia	https://biblehub.com/romans/16-7.htm;https://en.wikipedia.org/wiki/Special:Search?search=Andronicus%20of%20Pannonia	Rom 16:7.
anicetus	Anicetus			166	martyrdom	bishop	rome-rome		Bishop of Rome (c.155-166); hosted Polycarp of Smyrna who visited Rome; involved in early Easter dating dispute.	https://en.wikipedia.org/wiki/Pope_Anicetus	Eusebius Ecclesiastical History 4.19; Irenaeus in Eusebius	
anna-prophetess	Anna the Prophetess				unknown	prophet		Witness to infant Jesus (Luke 2:36–38).	Prophetess in Luke who speaks about the child Jesus.	https://en.wikipedia.org/wiki/Anna_the_Prophetess	https://en.wikipedia.org/wiki/Anna_the_Prophetess;https://biblehub.com/luke/2-36.htm	Luke 2:36–38.
anthimus-of-nicomedia	Anthimus of Nicomedia			303	martyrdom	bishop;martyr	nicomedia-izmit		Bishop of Nicomedia martyred at the start of the Diocletianic Great Persecution (303).	https://en.wikipedia.org/wiki/Anthimus_of_Nicomedia	Eusebius Ecclesiastical History 8	Feast day 3 September.
anthony-the-great	Anthony the Great	Anthony of Egypt; Saint Antony	251	356	natural	monk;hermit			Father of Christian monasticism; withdrew to the Egyptian desert c.270; his Life by Athanasius became foundational for monasticism.	https://en.wikipedia.org/wiki/Anthony_the_Great	Athanasius Life of Anthony; Jerome Lives of the Fathers	Feast day 17 January; died at age c.105.
antipas	Antipas			92	martyrdom	bishop;martyr	pergamon-bergama		Early martyr at Pergamon mentioned in Revelation 2:13 as a faithful witness killed in the city where Satan dwells.	https://en.wikipedia.org/wiki/Antipas_of_Pergamum	Revelation 2:13	Feast day 11 April.
apelles	Apelles				unknown	disciple		Commended by Paul (Rom 16:10).	Named in Romans 16 among Paul's greetings.	https://en.wikipedia.org/wiki/Special:Search?search=Apelles	https://biblehub.com/romans/16-10.htm;https://en.wikipedia.org/wiki/Special:Search?search=Apelles	Rom 16:10.
apollinaris	Apollinaris	Apollinaris of Hierapolis		180	natural	bishop;theologian;author	hierapolis-pamukkale		Bishop of Hierapolis (c.175); early apologist who addressed works to Marcus Aurelius; wrote against Montanism; cited by Eusebius.	https://en.wikipedia.org/wiki/Apollinaris_of_Hierapolis	Eusebius, Eccl. Hist. 4.27	
apollinaris-of-hierapolis	Apollinaris of Hierapolis			180	unknown	bishop;apologist	hierapolis-pamukkale		Bishop of Hierapolis (c.170-180); wrote apologies to Marcus Aurelius and works against Montanism.	https://en.wikipedia.org/wiki/Apollinaris_of_Hierapolis	Eusebius Ecclesiastical History 4.27; 5.19	
apollos	Apollos				unknown	teacher;evangelist	alexandria-alexandria	Alexandrian teacher instructed by Priscilla and Aquila; associated with Corinth (Acts 18).	Alexandrian Jewish Christian teacher influential in early churches.	https://en.wikipedia.org/wiki/Apollos	https://en.wikipedia.org/wiki/Apollos;https://biblehub.com/acts/18-24.htm	Acts 18:24–28.
apphia	Apphia				unknown	disciple		Addressed in Philemon 1:2.	Named among recipients of Philemon.	https://en.wikipedia.org/wiki/Special:Search?search=Apphia	https://biblehub.com/philemon/1-2.htm;https://en.wikipedia.org/wiki/Special:Search?search=Apphia	Phm 1:2.
aquila	Aquila				unknown	missionary;teacher		Coworker of Paul with Priscilla; hosted house-churches.	Jewish Christian coworker of Paul, linked with Priscilla in Acts and letters.	https://en.wikipedia.org/wiki/Priscilla_and_Aquila	https://en.wikipedia.org/wiki/Priscilla_and_Aquila;https://biblehub.com/acts/18-2.htm	Acts 18:2; Rom 16:3.
archippus	Archippus				unknown	minister		Addressed in Philemon 1:2 and Col 4:17.	Named in Philemon and Colossians; exhorted to fulfill ministry.	https://en.wikipedia.org/wiki/Special:Search?search=Archippus	https://biblehub.com/colossians/4-17.htm;https://en.wikipedia.org/wiki/Special:Search?search=Archippus	Col 4:17; Phm 1:2.
aristakes	Aristakes			333	martyrdom	bishop	vagharshapat-vagharshapat-etchmiadzin	Son of Gregory the Illuminator	First catholicos of Armenia after Gregory the Illuminator; his father's successor; attended Council of Nicaea (325); martyred c.333.	https://en.wikipedia.org/wiki/Aristakes_I_of_Armenia	Agathangelos, History of the Armenians	
aristarchus	Aristarchus				unknown	missionary		Travel companion mentioned in Acts and letters.	Macedonian travel companion of Paul, mentioned in Acts and Pauline letters.	https://en.wikipedia.org/wiki/Aristarchus_of_Thessalonica	https://en.wikipedia.org/wiki/Aristarchus_of_Thessalonica;https://biblehub.com/acts/20-4.htm	Acts 19:29; 20:4; Col 4:10.
aristides	Aristides of Athens		100	150	unknown	apologist	athens-athens		Athenian Christian apologist; presented an apology defending Christians to Emperor Hadrian (or Antoninus Pius) c.124-140; earliest surviving apology genre contrasting Christians with pagans and Jews.	https://en.wikipedia.org/wiki/Aristides_of_Athens	Eusebius Ecclesiastical History 4.3; Jerome De Viris Illustribus 20	
aristobulus	Aristobulus				unknown	disciple		Household greeted by Paul (Rom 16:10).	Named in Romans 16 via greetings to his household.	https://en.wikipedia.org/wiki/Special:Search?search=Aristobulus%20%28Romans%2016%29	https://biblehub.com/romans/16-10.htm;https://en.wikipedia.org/wiki/Special:Search?search=Aristobulus%20%28Romans%2016%29	Rom 16:10.
arius	Arius		256	336	natural	priest;theologian	cyrene-shahhat		Libyan-born priest in Alexandria whose teaching that the Son was a creature not co-eternal with the Father sparked the Arian controversy and the Council of Nicaea.	https://en.wikipedia.org/wiki/Arius	Athanasius Orations Against the Arians; Council of Nicaea 325	Died suddenly in Constantinople 336, the day before his planned restoration.
asclepiades-of-antioch	Asclepiades of Antioch				natural	bishop	antioch-antakya		Bishop of Antioch (c.211–220); confessor who suffered under Septimius Severus; praised by Origen in a letter.	https://en.wikipedia.org/wiki/Asclepiades_of_Antioch	Eusebius, Eccl. Hist. 6.11	
asyncritus	Asyncritus				unknown	disciple		Greeted by Paul (Rom 16:14).	Named in Romans 16 among Paul's greetings.	https://en.wikipedia.org/wiki/Special:Search?search=Asyncritus	https://biblehub.com/romans/16-14.htm;https://en.wikipedia.org/wiki/Special:Search?search=Asyncritus	Rom 16:14.
athanasius-of-alexandria	Athanasius of Alexandria	Saint Athanasius the Great	296	373	natural	bishop;theologian;author	alexandria-alexandria		Bishop of Alexandria (328-373) who championed Nicene homoousios against Arianism; exiled five times; authored Life of Anthony and Easter Festal Letters.	https://en.wikipedia.org/wiki/Athanasius_of_Alexandria	https://www.britannica.com/biography/Saint-Athanasius;https://en.wikipedia.org/wiki/Athanasius_of_Alexandria	Athanasius contra mundum; Easter Festal Letter 367 first lists the full NT canon.
athenagoras	Athenagoras of Athens		133	190	unknown	apologist;philosopher;theologian	athens-athens		Christian philosopher and apologist; addressed Plea for the Christians (Legatio) to Emperors Marcus Aurelius and Commodus c.177; also wrote On the Resurrection of the Dead.	https://en.wikipedia.org/wiki/Athenagoras_of_Athens	ANF Vol. 2	
auxentius	Auxentius			374	natural	bishop;theologian	mediolanum-milan		Bishop of Milan (355–374); Arian; installed by Constantius II over Western objections; opposed by Hilary of Poitiers; predecessor of Ambrose.	https://en.wikipedia.org/wiki/Auxentius_of_Milan	Hilary of Poitiers, Contra Auxentium	
avilius	Avilius	Avillius		98	natural	bishop	alexandria-alexandria	Apostolic succession through Mark	Bishop of Alexandria (c.84–98); second bishop after Annianus in the Alexandrian episcopal list.	https://en.wikipedia.org/wiki/Avilius	Eusebius, Eccl. Hist. 3.14	
babu	Babu				unknown	bishop	seleucia-ctesiphon-al-madain		Early bishop of the Church of the East; listed in the traditional patriarchal succession of Seleucia-Ctesiphon.		Chronicle of Seert	
babylas-of-antioch	Babylas of Antioch			253	martyrdom	bishop;martyr	antioch-antakya		Bishop of Antioch (c.237–253); reportedly refused Emperor Philip the Arab entry to church until he did penance; died in prison under Decius; his relics later moved by Gallus.	https://en.wikipedia.org/wiki/Babylas	Eusebius, Eccl. Hist. 6.29; Chrysostom, De S. Babyla	
bacchylides	Bacchylides				unknown	bishop	corinth-ancient-corinth		Bishop of Corinth; correspondent of Dionysius of Corinth (c.170).		Eusebius, Eccl. Hist. 4.23	
barbashmin	Barbashmin	Barba'shmin		346	martyrdom	bishop;martyr	seleucia-ctesiphon-al-madain		Catholicos of the Church of the East (342–346); succeeded Shahdost; martyred under Shapur II during the Great Persecution.	https://en.wikipedia.org/wiki/Barba%27shmin	Martyrdom of Barba'shmin	
bardaisan-of-edessa	Bardaisan of Edessa	Bar-Daisan; Bardesanes	154	222	natural	theologian;philosopher;hymnographer	edessa-sanl-urfa		Syriac philosopher and hymnographer; wrote Book of the Laws of Countries; cosmological views later judged heterodox.	https://en.wikipedia.org/wiki/Bardaisan	Eusebius Ecclesiastical History 4.30; Book of the Laws of Countries	Father of Syriac hymnody; Ephrem later wrote against his views.
barnabas	Barnabas	Joseph (surname Barnabas)			unknown	missionary;apostle		Jerusalem disciple; missionary companion of Paul (Acts).	Early missionary leader who partnered with Paul and helped integrate converts.	https://en.wikipedia.org/wiki/Barnabas	https://www.britannica.com/biography/Saint-Barnabas;https://en.wikipedia.org/wiki/Barnabas;https://biblehub.com/acts/11-24.htm	Acts 11–15.
bartholomew	Bartholomew	Nathanael (often identified)			unknown	apostle		One of the Twelve.	Apostle listed among the Twelve; later traditions vary.	https://en.wikipedia.org/wiki/Bartholomew_the_Apostle	https://www.britannica.com/biography/Saint-Bartholomew;https://en.wikipedia.org/wiki/Bartholomew_the_Apostle	
basil-of-ancyra	Basil of Ancyra			362	unknown	bishop;theologian	ancyra-ankara		Bishop of Ancyra (c.336–360); leader of the homoiousian party; opposed both strict Arianism and Nicene homoousios; deposed multiple times.	https://en.wikipedia.org/wiki/Basil_of_Ancyra	Epiphanius, Panarion 73	
basil-of-caesarea	Basil of Caesarea	Basil the Great	329	379	natural	bishop;theologian;author;monk	caesarea-cappadocia-kayseri		Bishop of Caesarea in Cappadocia (370–379); one of the Cappadocian Fathers; formulated the theology of the Holy Spirit; founded communal monasticism in the East; author of the Longer and Shorter Rules.	https://en.wikipedia.org/wiki/Basil_of_Caesarea	De Spiritu Sancto; Basilian Rule; Letters	
basilides	Basilides		100	160	unknown	theologian;teacher	alexandria-alexandria		Gnostic teacher in Alexandria (c.117-138); founder of the Basilidean school; taught 365 heavens and salvation through gnosis.	https://en.wikipedia.org/wiki/Basilides	Irenaeus Against Heresies 1.24; Hippolytus Refutation 7	
beryllus-of-bostra	Beryllus of Bostra				unknown	bishop;theologian	bostra-bosra		Bishop of Bostra (c.220–240); taught that Christ had no pre-existent deity; corrected by Origen at a synod c.240.	https://en.wikipedia.org/wiki/Beryllus_of_Bostra	Eusebius, Eccl. Hist. 6.20	
blandina	Blandina			177	martyrdom	martyr	lugdunum-lyon		Christian slave martyred in the persecution of Lyon and Vienne (177); her endurance became legendary in the early church.	https://en.wikipedia.org/wiki/Blandina	Letter of the Churches of Lyon and Vienne in Eusebius Ecclesiastical History 5.1	Feast day 2 June.
caecilian	Caecilian	Caecilianus		340	unknown	bishop	carthage-carthage		Bishop of Carthage (c.312-340) whose contested consecration triggered the Donatist schism.	https://en.wikipedia.org/wiki/Caecilian_of_Carthage	Augustine Against the Donatists; Optatus Against the Donatists	Council of Arles (314) upheld his consecration.
caius	Caius	Gaius of Rome		296	natural	bishop	rome-rome		Pope (283–296); traditionally attributed authorship of a Dialogue against Proclus the Montanist; venerated as a martyr though evidence is late.	https://en.wikipedia.org/wiki/Pope_Caius	Eusebius, Eccl. Hist. 6.20	
callixtus-i	Callixtus I	Callistus I		222	martyrdom	bishop	rome-rome		Bishop of Rome (c.217-222); formerly a slave; admitted remarried clergy and restored the lapsed; opposed by Hippolytus of Rome.	https://en.wikipedia.org/wiki/Pope_Callixtus_I	Hippolytus Refutation of All Heresies 9; Eusebius Ecclesiastical History 6	Built the Catacombs of Callixtus on Via Appia.
capito	Capito				unknown	bishop	joppa-jaffa-tel-aviv-yafo		Bishop of Jericho; attended the Council of Nicaea (325) according to some episcopal lists.		Nicaean subscription lists	
carpus	Carpus				unknown	disciple		Mentioned in 2 Tim 4:13.	Named in 2 Timothy as holding Paul's cloak and books at Troas.	https://en.wikipedia.org/wiki/Special:Search?search=Carpus%20%28biblical%20figure%29	https://biblehub.com/2_timothy/4-13.htm;https://en.wikipedia.org/wiki/Special:Search?search=Carpus%20%28biblical%20figure%29	2 Tim 4:13.
cassianus	Cassianus	Julius Cassianus			unknown	theologian	alexandria-alexandria		Gnostic teacher of the late 2nd century; associated with Docetism and severe asceticism; founder of an encratite sect; cited by Clement of Alexandria.	https://en.wikipedia.org/wiki/Julius_Cassianus	Clement of Alexandria, Stromata 3.13	
celadion	Celadion	Kedron		166	natural	bishop	alexandria-alexandria		Bishop of Alexandria (c.152–166); in the apostolic succession list of Eusebius.	https://en.wikipedia.org/wiki/Celadion	Eusebius, Eccl. Hist. 4.11	
cerdo	Cerdo	Cerdon		140	unknown	theologian	rome-rome		Gnostic teacher in Rome (c.137–140); taught a dualist theology distinguishing the God of the Old Testament from the God of Jesus; teacher of Marcion.	https://en.wikipedia.org/wiki/Cerdo	Irenaeus, Against Heresies 1.27.1; Eusebius, Eccl. Hist. 4.11	
claudia	Claudia				unknown	disciple		Mentioned in 2 Tim 4:21.	Named in 2 Timothy among those sending greetings.	https://en.wikipedia.org/wiki/Special:Search?search=Claudia%20%28biblical%20figure%29	https://biblehub.com/2_timothy/4-21.htm;https://en.wikipedia.org/wiki/Special:Search?search=Claudia%20%28biblical%20figure%29	2 Tim 4:21.
clement-of-alexandria	Clement of Alexandria	Titus Flavius Clemens	150	215	unknown	theologian;teacher;author	athens-athens		Head of the Alexandrian catechetical school; synthesized Christian faith with Greek philosophy; wrote Protrepticus, Paedagogus, and Stromata.	https://en.wikipedia.org/wiki/Clement_of_Alexandria	https://www.britannica.com/biography/Clement-of-Alexandria;https://en.wikipedia.org/wiki/Clement_of_Alexandria	Teacher of Origen; fled Alexandria during the Severan persecution c.202.
clement-of-rome	Clement of Rome	Clement I		100	unknown	bishop;author	rome-rome	Linked with the Roman church in the late 1st century; associated with 1 Clement.	Late-1st-century Roman church leader traditionally associated with the letter known as 1 Clement.	https://en.wikipedia.org/wiki/Clement_of_Rome	https://www.britannica.com/biography/Saint-Clement-I;https://en.wikipedia.org/wiki/Clement_of_Rome	Date and office terminology debated; often treated as an Apostolic Father.
clement-philippians	Clement (Philippians 4:3)				unknown	coworker		Named among Paul's coworkers (Phil 4:3).	Named in Philippians among Paul's coworkers whose names are in the book of life.	https://en.wikipedia.org/wiki/Special:Search?search=Clement%20%28Philippians%29	https://biblehub.com/philippians/4-3.htm;https://en.wikipedia.org/wiki/Special:Search?search=Clement%20%28Philippians%29	Phil 4:3.
cleopas	Cleopas				unknown	disciple		Named in Emmaus road narrative (Luke 24:18).	Disciple in the Emmaus road narrative in Luke 24.	https://en.wikipedia.org/wiki/Cleopas	https://en.wikipedia.org/wiki/Cleopas;https://biblehub.com/luke/24-18.htm	Luke 24:18.
constantine-i	Constantine I	Constantine the Great	272	337	natural	emperor;patron	naissus-nis		Roman Emperor (306-337); issued Edict of Milan (313) granting religious tolerance; convened Council of Nicaea (325); baptized on his deathbed.	https://en.wikipedia.org/wiki/Constantine_the_Great	https://www.britannica.com/biography/Constantine-I-Roman-emperor;https://en.wikipedia.org/wiki/Constantine_the_Great	First Christian Roman emperor; founded Constantinople.
constantius-chlorus	Constantius I	Constantius Chlorus	250	306	natural	emperor	naissus-nis		Roman Caesar and Augustus; father of Constantine I; relatively tolerant of Christians in his western territories during the Diocletianic persecution.	https://en.wikipedia.org/wiki/Constantius_Chlorus	Eusebius Life of Constantine; Lactantius De Mortibus Persecutorum	
cornelius	Cornelius				unknown	convert		First major Gentile convert in Acts 10.	Roman centurion whose household receives baptism in Acts 10.	https://en.wikipedia.org/wiki/Cornelius_the_Centurion	https://en.wikipedia.org/wiki/Cornelius_the_Centurion;https://biblehub.com/acts/10-1.htm	Acts 10.
crescens	Crescens				unknown	missionary		Mentioned in 2 Tim 4:10.	Named in 2 Timothy as having gone to Galatia.	https://en.wikipedia.org/wiki/Special:Search?search=Crescens	https://biblehub.com/2_timothy/4-10.htm;https://en.wikipedia.org/wiki/Special:Search?search=Crescens	2 Tim 4:10.
crispus	Crispus				unknown	convert;leader		Convert in Corinth during Paul's mission (Acts 18:8).	Ruler of the synagogue in Corinth who believed with his household.	https://en.wikipedia.org/wiki/Crispus	https://en.wikipedia.org/wiki/Crispus;https://biblehub.com/acts/18-8.htm	Acts 18:8; 1 Cor 1:14.
cyprian-of-carthage	Cyprian of Carthage	Saint Cyprian; Thascius Caecilius Cyprianus	200	258	martyrdom	bishop;theologian;author	carthage-carthage		Bishop of Carthage (249-258); theologian of church unity; executed under Valerian; author of De Unitate Ecclesiae.	https://en.wikipedia.org/wiki/Cyprian	https://www.britannica.com/biography/Saint-Cyprian;https://en.wikipedia.org/wiki/Cyprian	Feast day 16 September.
cyril-of-jerusalem	Cyril of Jerusalem	Saint Cyril	313	386	natural	bishop;theologian	jerusalem-jerusalem		Bishop of Jerusalem (350-386); author of the Catechetical Lectures, a primary source for 4th-century baptismal instruction and liturgy; embroiled in Arian controversies and deposed three times.	https://en.wikipedia.org/wiki/Cyril_of_Jerusalem	https://www.britannica.com/biography/Saint-Cyril-of-Jerusalem;https://en.wikipedia.org/wiki/Cyril_of_Jerusalem	Doctor of the Church; feast day 18 March.
damaris	Damaris				unknown	convert		Convert after Paul's Areopagus speech (Acts 17:34).	Athenian woman convert named in Acts 17:34.	https://en.wikipedia.org/wiki/Special:Search?search=Damaris%20%28biblical%20figure%29	https://biblehub.com/acts/17-34.htm;https://en.wikipedia.org/wiki/Special:Search?search=Damaris%20%28biblical%20figure%29	Acts 17:34.
demas	Demas				unknown	coworker		Mentioned in Col 4:14; Phm 1:24; 2 Tim 4:10.	Pauline coworker mentioned in Colossians and Philemon; later noted as having deserted in 2 Timothy.	https://en.wikipedia.org/wiki/Demas	https://en.wikipedia.org/wiki/Demas;https://biblehub.com/2_timothy/4-10.htm	2 Tim 4:10; Col 4:14.
demetrianus	Demetrianus				natural	bishop	antioch-antakya		Bishop of Antioch (c.253–260); succeeded Fabius; led church during Valerian persecution.	https://en.wikipedia.org/wiki/Demetrianus_of_Antioch	Eusebius, Eccl. Hist. 7.14	
demetrius	Demetrius			232	natural	bishop	alexandria-alexandria		Bishop of Alexandria (c.189–232); organized the catechetical school; appointed Origen as its head, later excommunicated him; first bishop to develop a broad episcopal network in Egypt.	https://en.wikipedia.org/wiki/Demetrius_of_Alexandria	Eusebius, Eccl. Hist. 5.22	
dionysius-areopagite	Dionysius the Areopagite				unknown	convert		Convert after Paul's Areopagus speech (Acts 17:34).	Athenian convert named in Acts 17:34.	https://en.wikipedia.org/wiki/Dionysius_the_Areopagite	https://en.wikipedia.org/wiki/Dionysius_the_Areopagite;https://biblehub.com/acts/17-34.htm	Acts 17:34.
dionysius-of-alexandria	Dionysius of Alexandria	Dionysius the Great	190	264	natural	bishop;theologian	alexandria-alexandria		Bishop of Alexandria (248-264); student of Origen; navigated the Decian and Valerian persecutions; wrote on Easter dating and authorship of Revelation.	https://en.wikipedia.org/wiki/Dionysius_of_Alexandria	Eusebius Ecclesiastical History 6.29-7.28	Called the Great by the Eastern church.
dionysius-of-corinth	Dionysius of Corinth		130	180	natural	bishop;author	corinth-ancient-corinth		Bishop of Corinth (c.170); wrote pastoral letters to multiple churches including Rome, Athens, Sparta, and Gortyna, preserved in fragments by Eusebius; emphasized church unity and charitable support.	https://en.wikipedia.org/wiki/Dionysius_of_Corinth	Eusebius Ecclesiastical History 4.23	
dionysius-of-rome	Dionysius of Rome			268	natural	bishop	rome-rome		Bishop of Rome (260-268); reorganized the Roman church after the Valerian persecution; corresponded with Dionysius of Alexandria on Trinitarian theology.	https://en.wikipedia.org/wiki/Pope_Dionysius	Eusebius Ecclesiastical History 7.27-28	
dius	Dius				natural	bishop	alexandria-alexandria		Bishop of Alexandria (c.232–247); succeeded Heraclas in the Alexandrian episcopal succession.		Eusebius, Eccl. Hist. 7.32	
domnus	Domnus				natural	bishop	antioch-antakya		Bishop of Antioch (c.268–272); succeeded Paul of Samosata after his condemnation; inherited the church buildings after imperial intervention.	https://en.wikipedia.org/wiki/Domnus_I_of_Antioch	Eusebius, Eccl. Hist. 7.30	
donatus-of-carthage	Donatus of Carthage	Donatus the Great		355	unknown	bishop;leader	carthage-carthage		Leader of the Donatist schism who gave his name to the movement; Bishop of Carthage in the Donatist succession; opposed Caecilian for over four decades.	https://en.wikipedia.org/wiki/Donatus_the_Great	Augustine Against the Donatists; Optatus Against the Donatists	Exiled by order of Constans 347.
