relation_id	source_type	source_id	relation_type	target_type	target_id	year_start	year_end	weight	polarity	certainty	evidence_note_id	citations
rel-pp-089	person	dionysius-of-alexandria	disciple_of	person	origen	215	232	4	supports	probable		Eusebius HE 6.29.4
rel-pp-090	person	eusebius-of-caesarea	disciple_of	person	pamphilus-of-caesarea	290	309	5	supports	attested		Eusebius HE, own preface; Jerome, Vir. Ill. 81
rel-pp-091	person	acacius-of-caesarea	disciple_of	person	eusebius-of-caesarea	320	339	4	supports	attested		Jerome, Vir. Ill. 98
rel-pp-092	person	arius	disciple_of	person	lucian-of-antioch	270	311	4	supports	probable		Theodoret HE 1.5; Philostorgius HE 2.14
rel-pp-093	person	eusebius-of-nicomedia	disciple_of	person	lucian-of-antioch	270	311	4	supports	probable		Theodoret HE 1.5; Philostorgius HE 2.14
rel-pp-094	person	athanasius-of-alexandria	disciple_of	person	alexander-of-alexandria	312	328	5	supports	attested		Socrates HE 1.15; Sozomen HE 2.17
rel-pp-095	person	irenaeus-of-lyon	disciple_of	person	polycarp-of-smyrna	140	160	5	supports	attested		Irenaeus, Letter to Florinus (Eusebius HE 5.20.6)
rel-pp-096	person	polycarp-of-smyrna	disciple_of	person	john-the-apostle	85	100	5	supports	attested		Irenaeus AH 3.3.4; Eusebius HE 5.20.6
rel-pp-097	person	papias-of-hierapolis	disciple_of	person	john-the-apostle	85	100	3	supports	claimed_tradition		Eusebius HE 3.39.4
rel-pp-098	person	paul	ordained	person	timothy	49	50	4	supports	attested		1 Tim 4:14; 2 Tim 1:6
rel-pp-099	person	paul	ordained	person	titus	55	57	3	supports	attested		Tit 1:5 (implied)
rel-pp-100	person	irenaeus-of-lyon	opposed	person	hippolytus	199	200	2	opposes	unknown		Hippolytus possibly criticized Irenaeus's millenarianism; tradition uncertain
rel-pc-001	person	linus	bishop_of	city	rome-rome	64	76	4	neutral	claimed_tradition		Irenaeus AH 3.3.3; Eusebius HE 3.2.1
rel-pc-002	person	anacletus	bishop_of	city	rome-rome	76	88	3	neutral	claimed_tradition		Irenaeus AH 3.3.3; Eusebius HE 3.13.1
rel-pc-003	person	clement-of-rome	bishop_of	city	rome-rome	88	99	5	neutral	attested		Irenaeus AH 3.3.3; Eusebius HE 3.15–16; 1 Clement
rel-pc-004	person	evaristus	bishop_of	city	rome-rome	99	107	3	neutral	claimed_tradition		Eusebius HE 3.34
rel-pc-005	person	alexander-i	bishop_of	city	rome-rome	107	115	3	neutral	claimed_tradition		Eusebius HE 4.1; Liber Pontificalis
rel-pc-006	person	sixtus-i	bishop_of	city	rome-rome	115	125	3	neutral	claimed_tradition		Eusebius HE 4.4; Liber Pontificalis
rel-pc-007	person	telesphorus	bishop_of	city	rome-rome	125	136	4	neutral	attested		Irenaeus AH 3.3.3; Eusebius HE 4.10; martyrdom attested by Irenaeus
rel-pc-008	person	hyginus	bishop_of	city	rome-rome	136	140	3	neutral	claimed_tradition		Eusebius HE 4.11; Liber Pontificalis
rel-pc-009	person	pius-i	bishop_of	city	rome-rome	140	155	4	neutral	claimed_tradition		Eusebius HE 4.11; Muratorian Fragment
rel-pc-010	person	anicetus	bishop_of	city	rome-rome	155	166	4	neutral	attested		Irenaeus in Eusebius HE 4.19; met Polycarp of Smyrna
rel-pc-011	person	soter	bishop_of	city	rome-rome	166	174	4	neutral	attested		Eusebius HE 4.19; letter from Dionysius of Corinth preserved in HE 4.23
rel-pc-012	person	eleutherus	bishop_of	city	rome-rome	174	189	4	neutral	attested		Eusebius HE 5.1.1; Irenaeus knew him as Roman bishop
rel-pc-013	person	victor-i	bishop_of	city	rome-rome	189	198	5	neutral	attested		Eusebius HE 5.22; first Latin-speaking bishop of Rome
rel-pc-014	person	zephyrinus	bishop_of	city	rome-rome	198	217	5	neutral	attested		Hippolytus, Refutatio 9.11; Eusebius HE 6.14
rel-pc-015	person	callixtus-i	bishop_of	city	rome-rome	217	222	5	neutral	attested		Hippolytus, Refutatio 9.12; Eusebius HE 6.21
rel-pc-016	person	urban-i	bishop_of	city	rome-rome	222	230	4	neutral	attested		Eusebius HE 6.21; Cyprian references
rel-pc-017	person	pontian	bishop_of	city	rome-rome	230	235	4	neutral	attested		Eusebius HE 6.29; exiled by Maximinus Thrax to Sardinia
rel-pc-018	person	fabian	bishop_of	city	rome-rome	236	250	5	neutral	attested		Eusebius HE 6.29.4; martyred under Decius 250
rel-pc-019	person	cornelius	bishop_of	city	rome-rome	251	253	5	neutral	attested		Eusebius HE 6.39; Cyprian Ep. 44
rel-pc-020	person	lucius-i	bishop_of	city	rome-rome	253	254	4	neutral	attested		Eusebius HE 7.2; Cyprian Ep. 61
rel-pc-021	person	stephen-i	bishop_of	city	rome-rome	254	257	5	neutral	attested		Eusebius HE 7.5; central figure in rebaptism controversy
rel-pc-022	person	sixtus-ii	bishop_of	city	rome-rome	257	258	5	neutral	attested		Eusebius HE 7.27; martyred 258 under Valerian
rel-pc-023	person	dionysius-of-rome	bishop_of	city	rome-rome	259	268	5	neutral	attested		Eusebius HE 7.27; key correspondent with Dionysius of Alexandria
rel-pc-024	person	felix-i	bishop_of	city	rome-rome	269	274	4	neutral	attested		Eusebius HE 7.30; Liber Pontificalis
rel-pc-025	person	eutychian	bishop_of	city	rome-rome	275	283	4	neutral	attested		Liber Pontificalis; martyrdom doubtful
rel-pc-026	person	caius	bishop_of	city	rome-rome	283	296	4	neutral	attested		Liber Pontificalis; Eusebius HE 7.32
rel-pc-027	person	marcellinus	bishop_of	city	rome-rome	296	304	4	neutral	attested		Liber Pontificalis; accused of apostasy in Great Persecution
rel-pc-028	person	marcellus-i	bishop_of	city	rome-rome	308	309	4	neutral	attested		Liber Pontificalis; Eusebius HE 10.5
rel-pc-029	person	miltiades	bishop_of	city	rome-rome	311	314	4	neutral	attested		Eusebius HE 10.5; presided at Council against Donatism (313)
rel-pc-030	person	sylvester-i	bishop_of	city	rome-rome	314	335	5	neutral	attested		Eusebius HE 10; Liber Pontificalis; contemporary with Council of Nicaea
rel-pc-031	person	julius-i	bishop_of	city	rome-rome	337	352	5	neutral	attested		Socrates HE 2.15; supported Athanasius during exile
rel-pc-032	person	evodius	bishop_of	city	antioch-antakya	53	67	4	neutral	claimed_tradition		Apostolic Constitutions 7.46; Eusebius HE 3.22
rel-pc-033	person	ignatius-of-antioch	bishop_of	city	antioch-antakya	67	107	5	neutral	attested		Eusebius HE 3.36.2; Ignatius's own letters
rel-pc-034	person	theophilus-of-antioch	bishop_of	city	antioch-antakya	169	183	4	neutral	attested		Eusebius HE 4.20; author of Ad Autolycum
rel-pc-035	person	serapion-of-antioch	bishop_of	city	antioch-antakya	189	211	4	neutral	attested		Eusebius HE 5.22; 6.12 (Gospel of Peter controversy)
rel-pc-036	person	asclepiades-of-antioch	bishop_of	city	antioch-antakya	211	220	3	neutral	attested		Eusebius HE 6.11.4; supported Origen
rel-pc-037	person	babylas-of-antioch	bishop_of	city	antioch-antakya	237	253	4	neutral	attested		Eusebius HE 6.29.4; 6.39; martyred under Decius
rel-pc-038	person	paul-of-samosata	bishop_of	city	antioch-antakya	260	268	4	neutral	attested		Eusebius HE 7.27–30; deposed at Council of Antioch 268
rel-pc-039	person	domnus	bishop_of	city	antioch-antakya	268	273	3	neutral	attested		Eusebius HE 7.30.17; succeeded Paul of Samosata
rel-pc-040	person	eustathius-of-antioch	bishop_of	city	antioch-antakya	324	330	4	neutral	attested		Socrates HE 1.23; exiled by Constantine after Nicaea
rel-pc-041	person	mark-the-evangelist	bishop_of	city	alexandria-alexandria	42	68	4	neutral	claimed_tradition		Eusebius HE 2.16; Coptic tradition; traditional founder
rel-pc-042	person	ananianus	bishop_of	city	alexandria-alexandria	68	83	3	neutral	claimed_tradition		Eusebius HE 2.24; Coptic succession list
rel-pc-043	person	avilius	bishop_of	city	alexandria-alexandria	83	95	3	neutral	claimed_tradition		Eusebius HE 3.14; Coptic succession list
rel-pc-044	person	demetrius	bishop_of	city	alexandria-alexandria	189	232	5	neutral	attested		Eusebius HE 5.22; 6.8; oversaw Origen's ordination and eventual expulsion
rel-pc-045	person	heraclas	bishop_of	city	alexandria-alexandria	232	247	4	neutral	attested		Eusebius HE 6.26; succeeded Demetrius; was Origen's student
rel-pc-046	person	dionysius-of-alexandria	bishop_of	city	alexandria-alexandria	247	264	5	neutral	attested		Eusebius HE 6.29; 7.1–28; survived Decian and Valerian persecutions
rel-pc-047	person	maximus-of-alexandria	bishop_of	city	alexandria-alexandria	264	282	3	neutral	attested		Eusebius HE 7.32.28; Dionysius's successor
rel-pc-048	person	theonas	bishop_of	city	alexandria-alexandria	282	300	3	neutral	attested		Eusebius HE 7.32.30; pre-Nicene bishop
rel-pc-049	person	peter-of-alexandria	bishop_of	city	alexandria-alexandria	300	311	5	neutral	attested		Eusebius HE 8.13; martyred in Great Persecution 311
rel-pc-050	person	achillas	bishop_of	city	alexandria-alexandria	311	312	3	neutral	attested		Eusebius HE 7.32; ordained Arius as deacon
rel-pc-051	person	alexander-of-alexandria	bishop_of	city	alexandria-alexandria	312	328	5	neutral	attested		Eusebius HE 10.5; first condemned Arius
rel-pc-052	person	athanasius-of-alexandria	bishop_of	city	alexandria-alexandria	328	373	5	neutral	attested		Socrates HE 1.15; Sozomen HE 2.17; exiled five times
rel-pc-053	person	james-the-just	bishop_of	city	jerusalem-jerusalem	33	62	5	neutral	attested		Gal 2:9; Acts 15; Eusebius HE 2.23; Hegesippus
rel-pc-054	person	simeon-bar-cleophas	bishop_of	city	jerusalem-jerusalem	62	107	4	neutral	claimed_tradition		Eusebius HE 3.11; 4.22; relative of Jesus; martyred under Trajan
rel-pc-055	person	narcissus-of-jerusalem	bishop_of	city	jerusalem-jerusalem	190	212	4	neutral	attested		Eusebius HE 6.9–11; co-bishop with Alexander
rel-pc-056	person	alexander-of-jerusalem	bishop_of	city	jerusalem-jerusalem	212	251	4	neutral	attested		Eusebius HE 6.11; founded Jerusalem library; died in prison under Decius
rel-pc-057	person	mazabanes	bishop_of	city	jerusalem-jerusalem	251	260	3	neutral	attested		Eusebius HE 6.39; Sozomen HE 2.20
rel-pc-058	person	macarius-i	bishop_of	city	jerusalem-jerusalem	314	333	4	neutral	attested		Socrates HE 1.8; present at Nicaea; oversaw construction of Church of Holy Sepulchre
rel-pc-059	person	maximus-of-jerusalem	bishop_of	city	jerusalem-jerusalem	333	348	4	neutral	attested		Socrates HE 2.20; Sozomen HE 3.14
rel-pc-060	person	polycarp-of-smyrna	bishop_of	city	smyrna-izmir	110	155	5	neutral	attested		Irenaeus AH 3.3.4; Eusebius HE 3.36.1; Martyrdom of Polycarp
rel-pc-061	person	pothinus	bishop_of	city	lugdunum-lyon	160	177	4	neutral	attested		Eusebius HE 5.1.29; martyred in Lyon persecution 177
rel-pc-062	person	irenaeus-of-lyon	bishop_of	city	lugdunum-lyon	178	202	5	neutral	attested		Eusebius HE 5.4.1; 5.20; Against Heresies
rel-pc-063	person	cyprian-of-carthage	bishop_of	city	carthage-carthage	248	258	5	neutral	attested		Pontius of Carthage, Vita Cypriani; Cyprian's own letters
rel-pc-064	person	eusebius-of-caesarea	bishop_of	city	caesarea-maritima-caesarea	313	339	5	neutral	attested		Socrates HE 1.8; Eusebius was present at Nicaea as bishop
rel-pc-065	person	acacius-of-caesarea	bishop_of	city	caesarea-maritima-caesarea	340	366	4	neutral	attested		Jerome, Vir. Ill. 98; pupil of Eusebius
rel-pd-001	person	arius	affirms	doctrine	arianism	318	336	5	supports	attested		Athanasius, Orations against Arians; Arius's Thalia (c.318)
rel-pd-002	person	athanasius-of-alexandria	condemns	doctrine	arianism	318	373	5	opposes	attested		Athanasius, De decretis; Orations against Arians; De synodis
rel-pd-003	person	alexander-of-alexandria	condemns	doctrine	arianism	318	328	5	opposes	attested		Alexander's Encyclical Letter (preserved in Theodoret HE 1.4)
rel-pd-004	person	eusebius-of-nicomedia	affirms	doctrine	arianism	318	341	4	supports	attested		Eusebius of Nic., letter to Pamphilius defending Arius (Theodoret HE 1.5)
rel-pd-005	person	ignatius-of-antioch	affirms	doctrine	eucharistic-real-presence	107	110	5	supports	attested		Ignatius, Smyrnaeans 7.1; Ephesians 20.2
rel-pd-006	person	ignatius-of-antioch	affirms	doctrine	monarchical-episcopacy	107	110	5	supports	attested		Ignatius, Smyrnaeans 8; Magnesians 6–7; Trallians 3
rel-pd-007	person	ignatius-of-antioch	condemns	doctrine	docetism	107	110	5	opposes	attested		Ignatius, Smyrnaeans 2–4; Trallians 9–10
rel-pd-008	person	ignatius-of-antioch	affirms	doctrine	martyrdom-theology	107	110	5	supports	attested		Ignatius, Romans 4–6
rel-pd-009	person	polycarp-of-smyrna	condemns	doctrine	docetism	110	155	5	opposes	attested		Polycarp, Philippians 7.1
rel-pd-010	person	polycarp-of-smyrna	affirms	doctrine	martyrdom-theology	110	155	5	supports	attested		Martyrdom of Polycarp; Polycarp, Phil. 9
rel-pd-011	person	irenaeus-of-lyon	affirms	doctrine	recapitulation	178	202	5	supports	attested		Irenaeus, Against Heresies 3.18–22; 5.21; Demonstration 31–34
rel-pd-012	person	irenaeus-of-lyon	condemns	doctrine	marcionite-dualism	178	202	5	opposes	attested		Irenaeus, Against Heresies 1.27; 4.34
rel-pd-013	person	irenaeus-of-lyon	condemns	doctrine	gnostic-soteriology	178	202	5	opposes	attested		Irenaeus, Against Heresies 1–2 passim
rel-pd-014	person	irenaeus-of-lyon	condemns	doctrine	docetism	178	202	4	opposes	attested		Irenaeus, Against Heresies 3.18; 4.33.2
rel-pd-015	person	irenaeus-of-lyon	affirms	doctrine	millenarianism-chiliasm	178	202	4	supports	attested		Irenaeus, Against Heresies 5.32–36
rel-pd-016	person	irenaeus-of-lyon	affirms	doctrine	apostolic-succession	178	202	5	supports	attested		Irenaeus, Against Heresies 3.3
rel-pd-017	person	marcion	affirms	doctrine	marcionite-dualism	144	160	5	supports	attested		Tertullian, Adversus Marcionem; Irenaeus AH 1.27
rel-pd-018	person	valentinus	affirms	doctrine	gnostic-soteriology	136	165	5	supports	attested		Irenaeus, Against Heresies 1.1–12; Clement, Strom. 7
rel-pd-019	person	basilides	affirms	doctrine	gnostic-soteriology	125	150	4	supports	attested		Irenaeus, Against Heresies 1.24; Clement, Strom. 4.12
rel-pd-020	person	tertullian	develops	doctrine	nicene-trinitarian-theology	213	215	5	supports	attested		Tertullian, Adversus Praxeam 2 (una substantia, tres personae)
rel-pd-021	person	theophilus-of-antioch	develops	doctrine	nicene-trinitarian-theology	177	183	4	supports	attested		Theophilus, Ad Autolycum 2.15 (first use of Trias in theological sense)
rel-pd-022	person	montanus	affirms	doctrine	new-prophecy-montanism	156	170	5	supports	attested		Eusebius HE 5.16–17; Epiphanius, Panarion 48
rel-pd-023	person	maximilla	affirms	doctrine	new-prophecy-montanism	156	179	5	supports	attested		Eusebius HE 5.16–17
rel-pd-024	person	tertullian	affirms	doctrine	new-prophecy-montanism	207	220	4	supports	attested		Tertullian's Montanist works; Jerome, Vir. Ill. 53
rel-pd-025	person	papias-of-hierapolis	affirms	doctrine	millenarianism-chiliasm	100	130	5	supports	attested		Papias, Fragments (Irenaeus AH 5.33.3–4); Eusebius HE 3.39
rel-pd-026	person	justin-martyr	affirms	doctrine	millenarianism-chiliasm	150	165	4	supports	attested		Justin, Dialogue with Trypho 80–81
rel-pd-027	person	justin-martyr	develops	doctrine	logos-christology	150	165	5	supports	attested		Justin, 1 Apology 46; 2 Apology 13; Dialogue 61
rel-pd-028	person	origen	condemns	doctrine	millenarianism-chiliasm	230	250	5	opposes	attested		Origen, De Principiis 2.11; Commentary on Matthew (Ser.) 77
rel-pd-029	person	dionysius-of-alexandria	condemns	doctrine	millenarianism-chiliasm	247	264	5	opposes	attested		Dionysius, On the Promises (preserved in Eusebius HE 7.24–25)
