proposition_id	topic_id	dimension_id	proposition_label	polarity_family	description	notes
christians-must-not-serve-in-military	social-ethics	military-refusal	Christians must not serve in the military	military_refusal	Military service is incompatible with Christian discipleship due to the requirements of idolatrous oath-taking, bloodshed, and submission to pagan authority.	Military service refusal
christians-must-observe-mosaic-law	canon-theology	ot-authority	Christians Must Observe Mosaic Law		Christian salvation requires observance of the Mosaic law including circumcision. Held by Ebionites and Judaizers; opposed by Paul, the Jerusalem Council, and all mainstream post-Pauline tradition.	
disciples-are-called-to-follow-jesus	discipleship	call-to-follow	Disciples are called to follow Jesus	call_to_follow	Jesus summons persons into direct discipleship.	
encratism-is-required	ascetic-practice	encratism	Radical continence is required of all Christians	encratism	Sexual continence, abstinence from meat, and/or abstinence from wine are required — not merely counseled — for all Christians; associated with Tatian, the Acts of Thomas, and some early Syriac communities.	Encratism
episcopal-unity-grounds-church-unity	episcopal-authority	episcopal-collegiality	The unity of bishops grounds the unity of the Church	episcopal_unity	The Church is one because the episcopate is one; each bishop holds the whole of the one episcopate in solidum; to break with the bishop is to break with the Church; there is one altar and one bishop.	
eucharist-fulfills-malachi-pure-offering	eucharist-practice	eucharist-malachi	The Eucharist fulfills Malachi's prophecy of the pure offering in every place	eucharist_malachi	The Christian Eucharist is identified as the fulfillment of Malachi 1:11 — the pure sacrifice offered to God in every place throughout the nations.	Eucharist as Malachi fulfillment
eucharist-is-body-and-blood	eucharist-presence	real-presence	The Eucharist is the body and blood of Christ	eucharistic_realism	The eucharistic elements are identified as the flesh and blood of Jesus.	Real-presence language
eucharist-is-medicine-of-immortality	eucharist-practice	eucharist-immortality	The Eucharist is medicine of immortality	eucharist_immortality	The eucharistic bread confers immortality and incorruption on those who receive it; sharing in Christ's deathless life.	Medicine of immortality
eucharist-is-sacrifice	eucharist-practice	eucharist-sacrificial	The Eucharist is a sacrifice offered to God	eucharistic_sacrifice	The eucharistic celebration is explicitly described as a sacrifice or oblation offered to God.	Sacrifice language
eucharist-offered-on-sunday	eucharist-practice	sunday-assembly	Christians gather on Sunday for the Eucharist	sunday_eucharist	The Lord's Day is the regular day for eucharistic assembly.	Weekly liturgical pattern
fasting-is-required	ascetic-practice	fasting-required	Christians are required to fast	christian_fasting	Fasting is a required Christian spiritual discipline presented as obligatory, not merely optional.	Ascetic discipline
final-judgment-is-coming	final-judgment	coming-judgment	A final judgment is coming	coming_judgment	Texts or teachers present a climactic future judgment of the wicked and vindication of the righteous.	
free-will-grounds-moral-responsibility	anthropology-theology	free-will	Human free will is the basis for moral responsibility before God	free_will	God created rational beings with genuine freedom of choice; this freedom is what makes praise, blame, reward, and punishment just; evil arises from the misuse of free will, not from God or from nature.	
frequent-eucharistic-assembly	eucharist-practice	assembly-frequency	Christians should assemble frequently for Eucharist	frequent_eucharist	Regular gathering for eucharistic worship is normative.	Liturgical regularity
gentile-believers-need-not-be-circumcised	gentile-inclusion	gentile-circumcision	Gentile believers need not be circumcised	gentile_inclusion	Gentile inclusion in the people of God does not require circumcision.	
gospel-harmony-is-authoritative	canon-theology	gospel-harmony-authority	A harmonized gospel narrative is the authoritative gospel text	gospel_harmony	The Diatessaron or similar gospel harmony serves as the primary authoritative gospel text for liturgy and teaching, rather than reading four separate canonical gospels; standard in the Syriac church from c. 170 until the 5th century.	Gospel harmony authority
gospel-reached-india	christian-expansion	india-reached	The gospel reached India through early missionary or apostolic activity	india_reached	"Christianity reached India — whether the Malabar coast or the broader ""India"" of ancient usage — through apostolic (Thomas, Bartholomew) or early missionary (Pantaenus) activity; attested by Eusebius HE 5.10 and Philostorgius."	
greek-philosophy-prepared-gentiles-for-gospel	apostolic-tradition	philosophy-as-schoolmaster	Greek philosophy served as a preparatory schoolmaster leading Gentiles toward the Gospel	philosophy_schoolmaster	Before the advent of Christ, philosophy served for the Greeks as what the Law served for the Hebrews — a pedagogue preparing them for the righteousness and faith found fully in Christ.	Philosophy as preparatory schoolmaster
heretic-baptism-is-invalid	baptism-practice	rebaptism-controversy	Baptism administered by heretics or schismatics is invalid and must be repeated	rebaptism	Baptism conferred outside the one Church by heretics or schismatics is no baptism at all; converts from heretical groups must be baptized anew because the Holy Spirit operates only within the Church. Held by Cyprian and the African councils; opposed by Stephen of Rome who accepted heretical baptism if in trinitarian form.	
infants-and-children-are-baptized	baptism-practice	infant-baptism	Infants and children receive baptism	infant_baptism	Infant and child baptism is explicitly affirmed or presupposed as the ordinary practice of the Church.	Infant baptism
jesus-born-of-virgin	mariology	virgin-birth	Jesus was truly born of a virgin	virgin_birth	Jesus was truly conceived by the Holy Spirit and born of the virgin Mary, not through natural human generation.	Virgin birth
jesus-is-proclaimed-as-raised	resurrection-proclamation	jesus-resurrection	Jesus is proclaimed as raised	resurrection_proclamation	The apostolic proclamation announces that Jesus has been raised from the dead.	
jesus-is-the-christ	messianic-identity	jesus-as-messiah	Jesus is the Christ	jesus_as_messiah	Texts or teachers explicitly identify Jesus as the Christ or Messiah.	
jesus-teaches-with-unique-authority	jesus-authority	teaching-authority	Jesus teaches with unique authority	teaching_authority	Jesus is portrayed as speaking with authority that stands out from other teachers.	
kingdom-of-god-has-drawn-near	kingdom-proclamation	kingdom-proximity	The kingdom of God has drawn near	kingdom_proximity	Jesus proclamation presents God kingdom as imminently present or arriving.	
logos-is-pre-existent-son-of-god	logos-theology	logos-pre-existence	Christ the Logos is the pre-existent Son of God	logos_preexistence	The Word/Logos of God, who became incarnate as Jesus Christ, pre-existed creation as the Son and mind of the Father, through whom all things were made.	Logos theology
martyrdom-witnesses-to-christ	martyrdom-theology	martyr-witness	Martyrdom is bearing faithful witness to Christ before authorities	martyr_witness	The martyr's death is presented as a form of witness to Christ, conforming to his passion and declaring undivided fidelity before earthly powers.	Martyrdom theology
martyrs-relics-honored	holy-matter	relic-veneration	The bones of martyrs are precious and gathered for commemoration	relic_honor	The bodily remains of martyrs are treated as precious, gathered for custody, and commemorated at annual anniversary gatherings.	Relic veneration
old-testament-is-authoritative-scripture	canon-theology	ot-authority	Old Testament is Authoritative Scripture		The Church accepts the Old Testament as authoritative Christian scripture; the God of creation and Israel is the same God as the Father of Jesus Christ. Denied by Marcion, Valentinus, Basilides, and most Gnostic schools.	
ordination-conferred-by-laying-on-of-hands	church-order	ordination-rite	Ordination is conferred by the laying on of hands		The ministry of bishop, presbyter, and deacon is conferred through the liturgical act of laying on of hands by existing bishops (for episcopal ordination) or by the bishop (for presbyters and deacons).	
perpetual-virginity-of-mary	mariology	perpetual-virginity	Mary remained ever-virgin — before, during, and after the birth of Jesus	perpetual_virginity	The mother of Jesus was a virgin not only in conceiving him by the Holy Spirit but remained perpetually a virgin; the 'brothers' of Jesus are not biological children of Mary.	
post-baptismal-sin-forgiven-by-penance	penance-practice	post-baptismal-penance	Post-baptismal sin can be forgiven through penance	post_baptismal_penance	A second repentance after baptism is possible and administered through church discipline.	Penitential discipline
prayer-is-offered-without-ceasing	ascetic-practice	continual-prayer	Prayer is offered without ceasing throughout all of life	continual_prayer	The spiritually formed Christian does not confine prayer to set times but prays continually through every word, action, and disposition, maintaining unceasing communion with God.	Continual prayer
pre-existence-of-souls	anthropology-theology	soul-pre-existence	Human souls pre-exist before their embodiment	soul_preexistence	Before the creation of the material world, God created rational souls who existed in a prior spiritual state; their embodiment is a consequence of their varying responses to God in that prior state. Taught by Origen; later condemned at the Fifth Ecumenical Council (553).	
prophetic-gifts-continue-after-apostles	church-order	prophetic-gifts	Prophetic Gifts Continue After the Apostles		The Holy Spirit continues to give direct prophecy and ecstatic spiritual gifts beyond the apostolic age; new prophetic revelation may supplement or correct the established tradition. Affirmed by Montanists; opposed by the emerging episcopal mainstream who grounded authority in apostolic succession.	
repentance-is-required	kingdom-proclamation	repentant-response	Repentance is required in response to the proclamation	repentance_response	The proclamation of the kingdom calls hearers to repentance.	
rule-of-faith-received-from-apostles	apostolic-tradition	rule-of-faith	The rule of faith is received from the apostles	rule_of_faith	Christians hold to a received standard of teaching traced to the apostles and guarded by their successors.	Oral tradition
second-marriage-is-forbidden	ascetic-practice	monogamy-strict	Second marriage after the death of a spouse is forbidden	strict_monogamy	Remarriage after the death of a spouse constitutes a species of adultery; Christians must practice strict monogamy, marrying only once.	Strict monogamy
son-is-eternally-generated	trinitarian-theology	eternal-generation	The Son is eternally begotten from the Father	eternal_generation	The Son/Logos is not a creature brought into being at a point in time but is eternally generated from the substance of the Father — there was never a time when the Son was not. Key Origenian contribution that became foundational for Nicene orthodoxy.	
thomas-preached-in-india	christian-expansion	apostle-thomas-india	The apostle Thomas preached in India	thomas_india	The Acts of Thomas (3rd c.) narrates Thomas's journey to India; the Thomas Christian tradition in Malabar claims apostolic origin; certainty is claimed_tradition.	
threefold-ministry-required	church-order	bishop-presbyter-deacon	Valid church order requires bishop, presbyter, and deacon	threefold_ministry	The threefold ministry of bishop, presbyter, and deacon is required for valid church structure.	Church order
trinity-is-three-persons-one-substance	trinitarian-theology	trinitarian-formula	God is three persons — Father, Son, and Holy Spirit — in one substance	trinitarian_formula	The one God subsists in three persons (personae) — Father, Son, and Holy Spirit — who share one substance (substantia); the Son proceeds from the Father and the Spirit from both, without dividing the divine substance.	Trinitarian formula
universal-restoration-of-all	final-judgment	universal-restoration	All rational beings will eventually be restored to God (apokatastasis)	universal_restoration	At the end of all ages, every rational creature — including the damned and possibly demons — will be purified and restored to communion with God; punishment is remedial, not eternal. Taught by Origen in De Principiis; later condemned but influential in Eastern theology.	
virginity-is-honored-calling	ascetic-practice	celibacy-honored	Virginity and celibacy are honored as a positive Christian calling	celibacy_honored	Virginity and celibacy are not merely tolerated but positively honored as a higher calling, even while marriage is defended as legitimate and good.	Celibacy and virginity honored
